<Phenotype>																					
taxa	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data
Taxa	Latitude	Longitude	wc2.1_30s_bio_1	wc2.1_30s_bio_10	wc2.1_30s_bio_11	wc2.1_30s_bio_12	wc2.1_30s_bio_13	wc2.1_30s_bio_14	wc2.1_30s_bio_15	wc2.1_30s_bio_16	wc2.1_30s_bio_17	wc2.1_30s_bio_18	wc2.1_30s_bio_19	wc2.1_30s_bio_2	wc2.1_30s_bio_3	wc2.1_30s_bio_4	wc2.1_30s_bio_5	wc2.1_30s_bio_6	wc2.1_30s_bio_7	wc2.1_30s_bio_8	wc2.1_30s_bio_9
Amur	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Greenar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Manska	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nebraska50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Oahe	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PI383562	39.92	44.05	11.56	22.97	-0.88	273.00	48.00	10.00	47.88	117.00	35.00	59.00	53.00	12.02	30.99	964.43	31.30	-7.50	38.80	16.32	22.58
PI383563	39.92	44.05	11.56	22.97	-0.88	273.00	48.00	10.00	47.88	117.00	35.00	59.00	53.00	12.02	30.99	964.43	31.30	-7.50	38.80	16.32	22.58
PI383564	40.61	43.10	5.20	16.48	-7.87	456.00	79.00	19.00	49.04	195.00	64.00	150.00	64.00	13.25	31.93	995.16	26.40	-15.10	41.50	9.92	-7.87
PI383565	40.61	43.41	5.40	16.77	-7.35	445.00	81.00	17.00	52.25	197.00	59.00	104.00	59.00	12.49	31.07	985.23	26.40	-13.80	40.20	9.90	-7.35
PI383568	39.92	44.05	11.56	22.97	-0.88	273.00	48.00	10.00	47.88	117.00	35.00	59.00	53.00	12.02	30.99	964.43	31.30	-7.50	38.80	16.32	22.58
PI383569	40.62	43.10	5.01	16.22	-7.83	446.00	77.00	18.00	49.94	191.00	60.00	109.00	60.00	13.12	31.99	983.05	26.10	-14.90	41.00	9.62	-7.83
PI383570	38.09	30.83	10.40	19.48	1.50	565.00	83.00	12.00	48.54	225.00	44.00	64.00	225.00	9.59	32.85	738.10	26.70	-2.50	29.20	1.50	19.18
PI383571	39.68	32.84	10.70	20.68	0.23	399.00	54.00	8.00	42.70	139.00	37.00	54.00	128.00	11.97	35.01	829.97	29.30	-4.90	34.20	9.93	20.42
PI383573	38.70	34.93	11.15	20.48	1.23	377.00	50.00	5.00	45.99	137.00	27.00	46.00	114.00	12.60	37.39	780.91	29.40	-4.30	33.70	10.55	20.18
PI383574	39.51	39.94	5.71	17.05	-5.83	785.00	115.00	10.00	54.94	301.00	39.00	39.00	246.00	10.32	28.52	940.34	25.50	-10.70	36.20	3.90	17.05
